"source","text","nwords","contains_url","sentiment","dow","day","hour"
"iOS","Lets go America! Get out &amp; #VoteTrump! #Trump2016
#MakeAmericaGreatAgain!
#SuperTuesday https://t.co/w0eAglHeh8 https://t.co/rGanPzZHmS",10,TRUE,NA,"Tuesday",60,15.7233333333334
"iOS","Wow! Thank you Louisville, Kentucky! 
#VoteTrump on 3/5/2016! Lets #MakeAmericaGreatAgain!
https://t.co/frO6s3NKpp https://t.co/xFwWRrro3l",11,TRUE,NA,"Tuesday",60,17.3080555555556
"iOS","Thank you Georgia!
#SuperTuesday #Trump2016",4,FALSE,NA,"Tuesday",60,19.0224999999999
"iOS","Thank you Massachusetts! #Trump2016 #SuperTuesday",5,FALSE,NA,"Tuesday",60,20.0302777777778
"iOS","Thank you Tennessee! #Trump2016
#SuperTuesday",4,FALSE,NA,"Tuesday",60,20.0358333333334
"iOS","Thank you Alabama! #Trump2016
#SuperTuesday",4,FALSE,NA,"Tuesday",60,20.0386111111112
"iOS","Thank you Virginia! #Trump2016
#SuperTuesday",4,FALSE,NA,"Tuesday",60,20.8308333333334
"iOS","Thank you Arkansas! #Trump2016
#SuperTuesday",4,FALSE,NA,"Tuesday",60,23.0977777777777
"iOS","Thank you Vermont! #Trump2016
#SuperTuesday",4,FALSE,NA,"Wednesday",61,0.10000000000008
"Android","The special interests and people who control our politicians (puppets) are spending $25 million on misleading and fraudulent T.V. ads on me.",22,FALSE,"anger","Wednesday",61,12.8938888888889
"Android","Why would anyone in Florida vote for lightweight Senator Marco Rubio. Check out his credit card scam, his house sale &amp; his no show voting!",25,FALSE,"positive","Wednesday",61,13.1897222222222
"Android","Marco Rubio lost big last night. I even beat him in Virginia, where he spent so much time and money. Now his bosses are desperate and angry!",27,FALSE,"negative","Wednesday",61,13.3102777777777
"iOS","My wife @MELANIATRUMP will be #OnTheRecord w/ @greta tonight at 7pmE on @FoxNews. Enjoy! 
https://t.co/yxrRkJJSGG https://t.co/Trv1hj9hRI",16,TRUE,"anticipation","Wednesday",61,14.9083333333333
"Android","Why can't the leaders of the Republican Party see that I am bringing in new voters by the millions-we are creating a larger, stronger party!",25,FALSE,"disgust","Wednesday",61,16.8416666666666
"iOS",".@CNN poll just hit 49% for Trump. Interesting how my numbers have gone so far up since lightweight Marco Rubio has turned nasty. Love it!",25,FALSE,"anger","Wednesday",61,18.3150000000001
"iOS","I am going to repeal and replace ObamaCare! Read more about my positions on healthcare reform here: https://t.co/WwIVhIud06",18,TRUE,"positive","Wednesday",61,18.4911111111112
"iOS","Failed Presidential Candidate Mitt Romney is having a news conference tomorrow to criticize me. (1/2)",15,FALSE,"anger","Wednesday",61,18.5677777777777
"iOS","Just another desperate move by the man who should have easily beaten Barrack Obama. (2/2)",15,FALSE,"negative","Wednesday",61,18.5702777777777
"iOS","I would love to see the Republican party and everyone get together- and unify.
Video: https://t.co/RWEnPUJO23 https://t.co/RT8Gmf6WHL",16,TRUE,"joy","Wednesday",61,18.9086111111112
"iOS","#MakeAmericaGreatAgain #Trump2016
Video: https://t.co/IbcE5tsRf7 https://t.co/bHqg1rkFy3",4,TRUE,NA,"Wednesday",61,21.1338888888889
"Android","Because of me, the Republican Party has taken in millions of new voters, a record. If they are not careful, they will all leave. Sad!",25,FALSE,"negative","Wednesday",61,22.0930555555555
"Android","Millions of dollars being spent on false TV ads by special interest groups who own Rubio &amp; Cruz.When you see them think of your puppet POLS",26,FALSE,"joy","Wednesday",61,22.3083333333334
"Android","Looks like two-time failed candidate Mitt Romney is going to be telling Republicans how to get elected. Not a good messenger!",21,FALSE,"anticipation","Wednesday",61,22.5519444444445
"Android","Failed candidate Mitt Romney,who ran one of the worst races in presidential history,is working with the establishment to bury a big ""R"" win!",23,FALSE,"positive","Thursday",62,6.37555555555548
"Android","I have brought millions of people into the Republican Party, while the Dems are going down. Establishment wants to kill this movement!",22,FALSE,"fear","Thursday",62,6.50972222222214
"Android","Why would the great people of Florida vote for a guy who, as a Senator, never even shows up to vote - worst record. Marco Rubio is a joke!",29,FALSE,"negative","Thursday",62,6.67138888888894
"Android","I am the only one who can beat Hillary Clinton. I am not a Mitt Romney, who doesn't know how to win. Hillary wants no part of ""Trump""",28,FALSE,"surprise","Thursday",62,6.78916666666674
"Android","Why did Mitt Romney BEG me for my endorsement four years ago?",12,FALSE,"negative","Thursday",62,6.99638888888882
"Android","The phony lawsuit against Trump U could have been easily settled by me but I want  to go to court. 98% approval rating by students. Easy win",28,FALSE,"anger","Thursday",62,9.35388888888889
"Android","Go to Trump Doral in Miami and watch the World Golf Championship! On NOW!",14,FALSE,"anticipation","Thursday",62,10.3858333333333
"iOS","Will miss @RealBenCarson tonight at the #GOPDebate. I hope all of Ben's followers will join the #TrumpTrain. We will never forget.",21,FALSE,"positive","Thursday",62,10.8580555555555
"iOS","On my way to see the great people of Maine. Will be landing in Portland in 2 hours. Look forward to it! #Trump2016",23,FALSE,"positive","Thursday",62,11.1594444444444
"iOS","THANK YOU PORTLAND, Maine!
#MakeAmericaGreatAgain #Trump2016
https://t.co/6lMFR6z8xO https://t.co/eKGxNbG6wD",6,TRUE,NA,"Thursday",62,15.2427777777779
"iOS","Senator Sessions will serve as the 
Chairman of my National Security 
Advisory Committee. https://t.co/jQed1P6SD9 https://t.co/n83Cbs4jtA",15,TRUE,"trust","Thursday",62,20.3333333333333
"iOS","Rubio puts out ad that my pilot was a drug dealer- not true, not my pilot! Guy owned helicopter company- don't think I ever even used.",26,FALSE,"positive","Thursday",62,20.4880555555556
"iOS","The Better Business Bureau report, with an A rating for Trump University. #GOPDebate https://t.co/ldJ5EFp3HM https://t.co/1K9u09CFQQ",15,TRUE,"anger","Thursday",62,23.5124999999999
"iOS","MY POSITION ON VISAS
#MakeAmericaGreatAgain #Trump2016
https://t.co/JGmOd5gr5z https://t.co/OLg6N3Ug9U",6,TRUE,NA,"Friday",63,0.404999999999973
"iOS","Thank you America! #Trump2016 
https://t.co/fNMPlXpkFf https://t.co/W1biUNTvFk",6,TRUE,NA,"Friday",63,7.2166666666667
"iOS","Thank you Macomb County, Michigan! #MakeAmericaGreatAgain #Trump2016 https://t.co/9TBvy6obcE",8,TRUE,"trust","Friday",63,11.5902777777778
"iOS","U.S. Senator Bob Corker (R-Tenn.) issued the following statement today regarding the 2016 presidential election: https://t.co/79y1KgC7S4",16,TRUE,"positive","Friday",63,12.6008333333334
"iOS","#VoteTrumpKS #Trump2016
March 5, 2016 | Wichita, Kansas: 
https://t.co/BkvBzvsJ12 https://t.co/Q8eZU9yi6W",9,TRUE,"positive","Friday",63,13.4069444444444
"iOS","Thank you Cadillac, Michigan! #VoteTrumpMI on 3/8/2016. We will MAKE AMERICA GREAT AGAIN!
https://t.co/8RDmQCbHce https://t.co/94mFPx0EgH",14,TRUE,NA,"Friday",63,16.0594444444444
"iOS","Join me in Wichita, Kansas tomorrow morning! Looking forward to it!
#MakeAmericaGreatAgain #Trump2016
https://t.co/HtVKgLvlAZ",12,TRUE,"positive","Friday",63,16.9136111111111
"iOS","Thank you New Orleans, Louisiana!
#MakeAmericaGreatAgain #VoteTrump
https://t.co/tI1h9xT9GX https://t.co/0bf7BOlWEj",7,TRUE,NA,"Friday",63,21.6875000000001
"iOS","Join me in Wichita, Kansas tomorrow morning! Looking forward to it!
#MakeAmericaGreatAgain #Trump2016
https://t.co/HtVKgLdKcp",12,TRUE,"positive","Friday",63,22.8213888888889
"Android","I am in Kansas. Will be an exciting day. Big speech this morning in Wichita, and then go to caucus. Sorry CPAC (the format was fine!).",26,FALSE,"positive","Saturday",64,8.18805555555571
"Android","Great time last night in Louisiana. Big and energetic crowd. Go out and vote now, polls open. MAKE AMERICA GREAT AGAIN!",21,FALSE,"anticipation","Saturday",64,8.2347222222221
"Android","For all of today's voters please remember that I am the only candidate that is self funding my campaign, I am not bought and paid for!",26,FALSE,"positive","Saturday",64,8.37166666666667
"Android","Wow, big lines in Kansas.",5,FALSE,"fear","Saturday",64,9.15138888888873
"Android","Will be in Orlando, Florida, this afternoon. 25,000 people expected. This is a movement like our GREAT COUNTRY has never seen before!",22,FALSE,"anticipation","Saturday",64,9.66194444444443
"iOS","Why would anyone in Kentucky listen to failed presidential candidate Rand Paul re: caucus. Made a fool of himself (1%.)
KY his 2nd choice!",23,FALSE,"positive","Saturday",64,11.1680555555557
"iOS","To the people of Kentucky, 
Rand Paul didn't want you. Now he runs back due to his presidential failure. 
#VoteTrump #MakeAmericaGreatAgain",21,FALSE,"disgust","Saturday",64,11.2119444444444
"iOS","Thank you Kansas! Thousands of people inside- and thousands outside who couldn't get into the hall. Really amazing! #CaucusForTrump",19,FALSE,NA,"Saturday",64,11.3249999999999
"iOS","Getting ready to make my speech at #KansasCaucus. A great honor! #MakeAmericaGreatAgain #Trump2016",13,FALSE,"positive","Saturday",64,11.3405555555554
"iOS","#CaucusForTrump #Trump2016  https://t.co/pTUlDXgPkP",4,TRUE,NA,"Saturday",64,11.3908333333333
"iOS","Thank you, Kansas! The line going into the Orlando event is over a mile long. Massive crowd expected. Leaving Kansas now, be there soon!",24,FALSE,"anticipation","Saturday",64,12.3872222222222
"iOS",".@MittRomney was a disaster candidate who had no guts and choked! Romney is a total joke, and everyone knows it!",20,FALSE,"negative","Saturday",64,12.9583333333334
"iOS","Romney's failed advisors, like campaign mgr Stuart Stevens are all over TV telling people how to win. But they lost- don't know how to win!",25,FALSE,"negative","Saturday",64,13.1363888888889
"iOS","I am watching two clown announcers on @FoxNews as they try to build up failed presidential candidate #LittleMarco. Fox News is in the bag!",24,FALSE,"positive","Saturday",64,13.163888888889
"iOS","I would love to be at the Cadillac World Golf Championship @TrumpDoral in Miami- but even more so in Orlando with the #TrumpTrain!",23,FALSE,"joy","Saturday",64,13.5027777777777
"iOS","Thank you Willie Robertson! 
#VoteTrump #MakeAmericaGreatAgain  https://t.co/0TUpaNfUmR",8,TRUE,NA,"Saturday",64,13.5511111111113
"iOS","I will be at the Cadillac World Golf Championship @TrumpDoral in Miami tomorrow! Rory, Phil, Bubba, Adam, and Dustin all at the top!",23,FALSE,"anticipation","Saturday",64,13.7458333333332
"iOS","Thank you Louisiana! #Trump2016
#SuperSaturday",4,FALSE,NA,"Saturday",64,21.8833333333334
"iOS","Thank you Kentucky! #Trump2016
#SuperSaturday",4,FALSE,NA,"Saturday",64,22.8005555555555
"Android",".@FoxNews is devastated that lightweight Senator Marco Rubio got trounced tonight and is the big loser. I won the two big states, great!",23,FALSE,NA,"Sunday",65,0.676944444444416
"Android","I will be interviewed on @FaceTheNation this morning. Enjoy!  @jdickerson",11,FALSE,"anticipation","Sunday",65,8.21083333333343
"iOS","FLORIDA: Do not miss this opportunity to #MakeAmericaGreatAgain! Thank you @IvankaTrump: https://t.co/LHRNDKsoKh https://t.co/7cnWT9RGSr",13,TRUE,"anticipation","Sunday",65,10.7275
"iOS","Thank you Michigan! #Trump2016 https://t.co/ttwwvrTjwE",5,TRUE,NA,"Sunday",65,12.4127777777777
"iOS","David Brooks, of the New York Times, is closing in on being the dumbest of them all. He doesn’t have a clue.",22,FALSE,"anticipation","Sunday",65,12.4236111111111
"iOS","Nancy Reagan, the wife of a truly great President, was an amazing woman. She will be missed!",17,FALSE,"positive","Sunday",65,12.4336111111111
"iOS","The primary plaintiff in the phony Trump University suit wants to abandon the case. Disgraceful!",15,FALSE,"negative","Sunday",65,12.4558333333333
"iOS","Fraud lightweight Marco made a TV ad on TrumpU featuring 2 people who signed these letters: https://t.co/tSpFBn6Rux
https://t.co/KFmotmqfnN",17,TRUE,"anger","Sunday",65,12.5449999999998
"iOS","Thank you to @jdickerson and @FaceTheNation for a very fair and professional interview this morning. No wonder you are #1 in the ratings!",23,FALSE,"positive","Sunday",65,13.0500000000001
"Android","I am at Trump National Doral-best resort in U.S. Rory and Adam Scott are doing great! Watch on NBC at 3:00 P.M.  MAKE AMERICA GREAT AGAIN!",27,FALSE,"anticipation","Sunday",65,13.2580555555555
"iOS",".@meetthepress and @chucktodd did a 1 hour hit job on me today – totally biased and mostly false. Dishonest media!",20,FALSE,"negative","Sunday",65,13.3202777777777
"Android","All of the phony T.V. commercials against me are bought and payed for by SPECIAL INTEREST GROUPS, the bandits that tell your pols what to do",26,FALSE,"anger","Sunday",65,21.9080555555555
"Android","How do you fight millions of dollars of fraudulent commercials pushing for crooked politicians? I will be using Facebook &amp; Twitter. Watch!",22,FALSE,"anger","Sunday",65,21.9772222222221
"Android","Failed presidential candidate Lindsey Graham should respect me. I destroyed his run, brought him from 7% to 0% when he got out. Now nasty!",24,FALSE,"anger","Monday",66,6.81083333333333
"Android","Lindsey Graham is all over T.V., much like failed 47% candidate Mitt Romney. These nasty, angry, jealous  failures have ZERO credibility!",22,FALSE,"anger","Monday",66,7.06638888888892
"Android","We cannot let the failing REPUBLICAN ESTABLISHMENT, who could not stop Obama (twice), ruin the MOVEMENT with millions of  $'s in false ads!",24,FALSE,"fear","Monday",66,8.05444444444436
"Android","I will be using Facebook and Twitter to expose dishonest lightweight Senator Marco Rubio. A record no-show in Senate, he is scamming Florida",23,FALSE,"anger","Monday",66,8.17277777777781
"Android","Congratulation to Adam Scott and all of the folks at Trump National Doral on producing a really great WGC Tournament. Amazing finish!",22,FALSE,"positive","Monday",66,8.92055555555555
"Android","Leaving for North Carolina. Big crowd, will be fun!",9,FALSE,"anticipation","Monday",66,10.3833333333333
"Android","Don't believe the millions of dollars of phony television ads by lightweight Rubio and the R establishment. Dishonest people!",19,FALSE,"anger","Monday",66,11.8372222222221
"Android","It was great being in Michigan. Remember, I am the only presidential candidate who will bring jobs back to the U.S.and protect car industry!",24,FALSE,"positive","Monday",66,16.3994444444446
"iOS","Lightweight Senator Marco Rubio features Trump Univ. students in FL. attack ads- who submitted ""excellent"" reviews. https://t.co/JGTD590pKE",17,TRUE,"anger","Monday",66,17.5813888888889
"iOS","Thank you Idaho! I love your potatoes- 
nobody grows them better. As 
President, I will protect your market. https://t.co/kqx8un1jnw",19,TRUE,"positive","Monday",66,17.8058333333332
"iOS","New ad concerning lightweight Senator Marco Rubio: 
https://t.co/cNe0skpB5i",8,TRUE,NA,"Monday",66,18.8091666666666
"iOS","I will be interviewed by @SeanHannity tonight at 10pm EST on @FoxNews! Enjoy!",13,FALSE,"anticipation","Monday",66,19.7897222222222
"iOS","Cruz came to Mississippi, there was nobody there, he left the state. I had a rally in Madison, MS with 10,000! 
Thank you!",23,FALSE,NA,"Monday",66,20.8275
"iOS","I employ many people in Hawaii at my great hotel in Honolulu. I’ll be there very soon. Vote for me, Hawaii!",21,FALSE,"trust","Monday",66,21.418888888889
"iOS","Ted Cruz Was For Welcoming Syrian Refugees Before He Was Against It
https://t.co/zw4o1DJgfB",12,TRUE,NA,"Monday",66,21.7886111111111
"iOS","People forget, it was Club for Growth that asked me for $1 million. I said no &amp; they went negative. Extortion! https://t.co/oq8jmoep7i",22,TRUE,"negative","Monday",66,21.9094444444444
"iOS","The Club for Growth is a very dishonest group. They represent conservative values terribly &amp; are bad for America. https://t.co/rnGoaprYuA",20,TRUE,"sadness","Monday",66,21.9255555555557
"iOS","Michigan, Mississippi, Idaho &amp; Hawaii: Get out to VOTE and join the movement today! Video: https://t.co/fJw8Ax7E8P https://t.co/ZDbarevYAc",17,TRUE,"positive","Tuesday",67,9.29527777777764
"iOS","Thank you @EricTrump! https://t.co/U1iTLmcbAc",4,TRUE,NA,"Tuesday",67,10.3880555555554
"Android","MAKE AMERICA GREAT AGAIN!",4,FALSE,NA,"Tuesday",67,10.3969444444444
"Android","Sun Sentinel says: Rubio lacks the experience, work ethic and gravitas needed to be president. HE HAS NOT EARNED YOUR VOTE!",21,FALSE,"positive","Tuesday",67,11.2033333333333
"Android","Remember, I am the only one who is self-funding my campaign. All of the other candidates are bought and paid for by special interests!",24,FALSE,"joy","Tuesday",67,11.3530555555556
"Android","Mitt Romney had his chance and blew it. Lindsey Graham ran for president, got ZERO, and quit! Why are they now spokesmen against me? Sad!",25,FALSE,"negative","Tuesday",67,12.6000000000001
"iOS","#VoteTrumpMS! #Trump2016
https://t.co/KaHD0uENla",2,TRUE,NA,"Tuesday",67,12.6619444444444
"iOS","#VoteTrumpMI! #Trump2016
https://t.co/IWMxISjH6L",2,TRUE,NA,"Tuesday",67,12.6813888888889
"iOS","#VoteTrumpHI! #Trump2016
https://t.co/cCCLxnisSO",2,TRUE,NA,"Tuesday",67,12.7436111111111
"iOS","#VoteTrumpID! #Trump2016
https://t.co/c6NHn6d6jX",2,TRUE,NA,"Tuesday",67,12.7669444444443
"iOS","Hawaii:
https://t.co/MnIlk2l9hP
Idaho:
https://t.co/7y5RxLpZRQ
Mississippi:
https://t.co/n43cPeJIqa
Michigan:
https://t.co/GL5JiZbqIc",1,TRUE,NA,"Tuesday",67,12.8755555555557
"Android","The negative television commercials about me, paid for by the politicians bosses, are a total #Mediafraud. When you watch, remember!",20,FALSE,"anticipation","Tuesday",67,15.9633333333334
"Android","I hear @NBCNews / @WSJ came out with another one of their phony polls. While I am leading, they are totally discredited after last S.C. poll",26,FALSE,"trust","Tuesday",67,18.8966666666666
"Android","Word is I am doing very well in Michigan and Mississippi! Wow, and with all that money spent against me! Will be going to Trump Jupiter now!",27,FALSE,"positive","Tuesday",67,18.9672222222221
"iOS","Thank you America! #Trump2016
https://t.co/jOD54EGGmG",4,TRUE,NA,"Tuesday",67,20.2127777777778
"iOS","Thank you! #Trump2016 https://t.co/WvTkL8mMHY",4,TRUE,NA,"Tuesday",67,20.2472222222223
"iOS","Thank you Mississippi! #Trump2016",4,FALSE,NA,"Tuesday",67,20.4786111111113
"iOS","Thank you Michigan! #Trump2016",4,FALSE,NA,"Tuesday",67,21.0402777777779
"iOS","This was a great evening- I would like to thank everyone for their wonderful support.",15,FALSE,"joy","Tuesday",67,22.9744444444444
"iOS","Thank you Hawaii! #Trump2016",4,FALSE,NA,"Wednesday",68,2.60444444444454
"iOS","Phony Club For Growth tried to shake me down for one million dollars, &amp; is now putting out nasty negative ads on me. They are total losers!",27,FALSE,"negative","Wednesday",68,16.7700000000001
"iOS","Keep lightweight Marco and his friends out of the White House. 
#MakeAmericaGreatAgain #Trump2016 https://t.co/hNkkRx66Hc",14,TRUE,"anticipation","Wednesday",68,17.6583333333332
"iOS","Another Dishonest Politician 
#LightweightSenatorMarcoRubio https://t.co/w7G5vJ511O",5,TRUE,"anger","Wednesday",68,18.0083333333332
"Android","Wow, you are all correct about @FoxNews - totally biased and disgusting reporting.",13,FALSE,"negative","Thursday",69,16.6883333333334
"iOS","Thank you Mark. #GOPDebate  https://t.co/jeaiAvgEEC",6,TRUE,NA,"Friday",70,0.204722222222244
"iOS","Thank you America! #Trump2016
#MakeAmericaGreatAgain https://t.co/8B0J8Xt3dh",5,TRUE,NA,"Friday",70,0.940000000000168
"iOS","Thank you! #GOPDebate https://t.co/BuJ1YFkjvm",4,TRUE,NA,"Friday",70,1.83277777777778
"iOS","Dr. Ben Carson- I concur. 

""I believe in God who can change people- he can make any of us better.""
@RealBenCarson",20,FALSE,"fear","Friday",70,11.7422222222222
"iOS","https://t.co/ZQ0osiFEJQ",1,TRUE,NA,"Friday",70,12.9733333333334
"Android","Rumor has it that @politico is going out of business. Losing too much money. Great news! Likewise, dopey Mort Zuckerman's @NYDailyNews",21,FALSE,"anger","Friday",70,15.5655555555556
"iOS","Thank you St. Louis, Missouri! 
#MakeAmericaGreatAgain #Trump2016
https://t.co/qM1Mwq05j2 https://t.co/MxVFHvHfS3",8,TRUE,NA,"Friday",70,16.4277777777778
"iOS","It means so much to me- receiving an endorsement from Phyllis Schlafly. A truly great woman &amp; conservative. https://t.co/11rEMu99qc",19,TRUE,"anticipation","Friday",70,17.6752777777779
"iOS","Great news! Thank you Governor Ralph DLG Torres! #Trump2016  https://t.co/hXwAK3iyPk",11,TRUE,"trust","Friday",70,18.0502777777779
"iOS","I just got off the phone with the great people of Guam! Thank you for your support! #VoteTrump today! #Trump2016",20,FALSE,NA,"Friday",70,21.0105555555555
"Android","The organized group of people, many of them thugs, who shut down our First Amendment rights in Chicago, have totally energized America!",22,FALSE,"positive","Saturday",71,6.74833333333322
"Android","Absentee Governor Kasich voted for NAFTA and NAFTA devastated Ohio - a disaster from which it never recovered. Kasich is good for Mexico!",23,FALSE,"negative","Saturday",71,8.58861111111116
"Android","Ohio had the biggest budget increase in the U.S. If it were not for striking oil, they would be bust! Governor Kasich in favor of TPP fraud!",27,FALSE,"positive","Saturday",71,9.29472222222216
"Android","The rally in Cincinnati is ON. Media put out false reports that it was cancelled. Will be great - love you Ohio!",22,FALSE,"joy","Saturday",71,9.5858333333332
"Android","On my way to Dayton, Ohio. Will be there soon!",10,FALSE,NA,"Saturday",71,9.90750000000003
"Android","MAKE AMERICA GREAT AGAIN!",4,FALSE,NA,"Saturday",71,9.92083333333323
"iOS","Thank you Dayton, Ohio! 20,000 supporters- largest in airport history! #MakeAmericaGreatAgain #Trump2016 https://t.co/ry2p5qGcFt",13,TRUE,"anticipation","Saturday",71,13.0441666666667
"iOS","The rally in Cincinnati is ON. Media put out false reports that it was cancelled! 
#MakeAmericaGreatAgain #Trump2016",17,FALSE,NA,"Saturday",71,13.0447222222222
"iOS","Word is-early voting in FL is very dishonest. Little Marco, his State Chairman, &amp; their minions are working overtime-trying to rig the vote.",23,FALSE,"positive","Saturday",71,13.1066666666668
